File	/Users/minjaesong/Downloads/MONOTONE-master/NO_ROADS.MON
Length	34 patterns
voices	4
Order list:
02 00 01 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1E 1E 1F 

Order 02
rw | nnn edd | nnn edd | nnn edd | nnn edd
0A | ... 205 | ... 205 | ... 000 | ... 000
0B | ... 205 | ... 205 | ... 000 | ... D00
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | ... 000 | ... 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | ... 000 | ... 000
14 | ... 000 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | ... 000 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | ... 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | ... 000 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | ... 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | ... 000 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 03
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-2 205 | === 000 | === 000 | === F04
01 | ... 205 | ... 000 | ... 000 | ... 000
02 | ... 205 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | C-2 000 | G-4 000 | C-4 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | === 000 | ... 000
08 | C-3 210 | ... 000 | ... 000 | ... 000
09 | ... 210 | ... 000 | ... 000 | ... 000
0A | C-2 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | C-2 000 | ... 000 | ... 000 | ... 000
0F | === 000 | ... 000 | ... 000 | ... 000
10 | C-2 205 | ... 000 | ... 000 | ... 000
11 | ... 205 | ... 000 | ... 000 | ... 000
12 | C-3 000 | ... 000 | ... 000 | ... 000
13 | === 000 | ... 000 | ... 000 | ... 000
14 | C-3 000 | ... 000 | ... 000 | ... 000
15 | === 000 | ... 000 | ... 000 | ... 000
16 | C-3 000 | ... 000 | ... 000 | ... 000
17 | === 000 | ... 000 | ... 000 | ... 000
18 | C-3 210 | ... 000 | ... 000 | ... 000
19 | ... 210 | ... 000 | ... 000 | ... 000
1A | C-4 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | C-3 000 | ... 000 | ... 000 | ... 000
1D | === 000 | ... 000 | ... 000 | ... 000
1E | G-3 000 | ... 000 | ... 000 | ... 000
1F | === 000 | ... 000 | ... 000 | ... 000
20 | C-2 205 | ... 000 | ... 000 | ... 000
21 | ... 205 | ... 000 | ... 000 | ... 000
22 | ... 205 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-3 000 | ... 000 | ... 000 | ... 000
25 | === 000 | ... 000 | ... 000 | ... 000
26 | C-3 000 | ... 000 | ... 000 | ... 000
27 | === 000 | ... 000 | ... 000 | ... 000
28 | C-3 205 | ... 000 | ... 000 | ... 000
29 | ... 205 | ... 000 | ... 000 | ... 000
2A | C-2 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | === 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | C-2 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-2 205 | ... 000 | ... 000 | ... 000
31 | ... 205 | ... 000 | ... 000 | ... 000
32 | D#4 000 | A#4 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | A#2 000 | === 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | C-3 000 | ... 000 | ... 000 | ... 000
37 | === 000 | ... 000 | ... 000 | ... 000
38 | G-3 205 | ... 000 | ... 000 | ... 000
39 | ... 205 | ... 000 | ... 000 | ... 000
3A | F-4 000 | A-4 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | A#2 000 | === 000 | ... 000 | ... 000
3D | === 000 | ... 000 | ... 000 | ... 000
3E | C-3 000 | ... 000 | ... 000 | ... 000
3F | === 000 | ... 000 | ... 000 | ... 000

Order 04
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-2 205 | === 000 | === 000 | === F04
01 | ... 205 | ... 000 | ... 000 | ... 000
02 | ... 205 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | C-4 000 | D#4 000 | G#4 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | === 000 | ... 000
08 | C-3 210 | ... 000 | ... 000 | ... 000
09 | ... 210 | ... 000 | ... 000 | ... 000
0A | C-2 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | C-2 000 | ... 000 | ... 000 | ... 000
0F | === 000 | ... 000 | ... 000 | ... 000
10 | C-2 205 | ... 000 | ... 000 | ... 000
11 | ... 205 | ... 000 | ... 000 | ... 000
12 | C-3 000 | ... 000 | ... 000 | ... 000
13 | === 000 | ... 000 | ... 000 | ... 000
14 | C-3 000 | ... 000 | ... 000 | ... 000
15 | === 000 | ... 000 | ... 000 | ... 000
16 | C-3 000 | ... 000 | ... 000 | ... 000
17 | === 000 | ... 000 | ... 000 | ... 000
18 | C-3 210 | ... 000 | ... 000 | ... 000
19 | ... 210 | ... 000 | ... 000 | ... 000
1A | C-4 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | C-3 000 | ... 000 | ... 000 | ... 000
1D | === 000 | ... 000 | ... 000 | ... 000
1E | G-3 000 | ... 000 | ... 000 | ... 000
1F | === 000 | ... 000 | ... 000 | ... 000
20 | C-2 205 | ... 000 | ... 000 | ... 000
21 | ... 205 | ... 000 | ... 000 | ... 000
22 | ... 205 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | C-3 000 | F-4 000 | A-4 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | C-3 205 | === 000 | === 000 | ... 000
29 | ... 205 | ... 000 | ... 000 | ... 000
2A | C-2 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | C-4 000 | F-4 000 | A#4 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | C-2 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-2 205 | === 000 | === 000 | ... 000
31 | ... 205 | ... 000 | ... 000 | ... 000
32 | F-2 000 | F-3 000 | F-4 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | G-2 000 | G-3 000 | G-4 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | D#3 000 | D#4 000 | D#5 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | A#2 000 | A#3 000 | A#4 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | C-3 000 | C-4 000 | C-5 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | A#3 000 | A#4 000 | A#5 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | C-4 000 | C-5 000 | C-6 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 05
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-2 205 | === 000 | === 000 | === F04
01 | ... 205 | ... 000 | ... 000 | ... 000
02 | C-3 000 | ... 000 | ... 000 | ... 000
03 | === 000 | ... 000 | ... 000 | ... 000
04 | C-3 000 | ... 000 | ... 000 | ... 000
05 | === 000 | ... 000 | ... 000 | ... 000
06 | C-3 000 | ... 000 | ... 000 | ... 000
07 | === 000 | ... 000 | ... 000 | ... 000
08 | G-3 208 | ... 000 | ... 000 | ... 000
09 | === 210 | ... 000 | ... 000 | ... 000
0A | C-2 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | C-2 000 | ... 000 | ... 000 | ... 000
0F | === 000 | ... 000 | ... 000 | ... 000
10 | C-2 205 | ... 000 | ... 000 | ... 000
11 | ... 205 | ... 000 | ... 000 | ... 000
12 | C-3 000 | ... 000 | ... 000 | ... 000
13 | === 000 | ... 000 | ... 000 | ... 000
14 | C-3 000 | ... 000 | ... 000 | ... 000
15 | === 000 | ... 000 | ... 000 | ... 000
16 | C-3 000 | ... 000 | ... 000 | ... 000
17 | === 000 | ... 000 | ... 000 | ... 000
18 | C-3 210 | ... 000 | ... 000 | ... 000
19 | ... 210 | ... 000 | ... 000 | ... 000
1A | C-4 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | C-3 000 | ... 000 | ... 000 | ... 000
1D | === 000 | ... 000 | ... 000 | ... 000
1E | G-3 000 | ... 000 | ... 000 | ... 000
1F | === 000 | ... 000 | ... 000 | ... 000
20 | C-2 205 | ... 000 | ... 000 | ... 000
21 | ... 205 | ... 000 | ... 000 | ... 000
22 | C-3 000 | ... 000 | ... 000 | ... 000
23 | === 000 | ... 000 | ... 000 | ... 000
24 | C-3 000 | ... 000 | ... 000 | ... 000
25 | === 000 | ... 000 | ... 000 | ... 000
26 | C-3 000 | ... 000 | ... 000 | ... 000
27 | === 000 | ... 000 | ... 000 | ... 000
28 | C-3 205 | ... 000 | ... 000 | ... 000
29 | ... 205 | ... 000 | ... 000 | ... 000
2A | C-2 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | === 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | C-2 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-2 205 | ... 000 | ... 000 | ... 000
31 | ... 205 | ... 000 | ... 000 | ... 000
32 | C-3 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | D#3 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | C-2 000 | ... 000 | ... 000 | ... 000
37 | === 000 | ... 000 | ... 000 | ... 000
38 | C-3 205 | ... 000 | ... 000 | ... 000
39 | ... 205 | ... 000 | ... 000 | ... 000
3A | C-1 000 | ... 000 | ... 000 | ... 000
3B | === 000 | ... 000 | ... 000 | ... 000
3C | A#3 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | C-4 000 | ... 000 | ... 000 | ... 000
3F | === 000 | ... 000 | ... 000 | ... 000

Order 06
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-2 205 | === 000 | === 000 | === F04
01 | ... 205 | ... 000 | ... 000 | ... 000
02 | C-3 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | C-4 000 | D#4 000 | G#4 000 | ... 000
05 | ... 203 | ... 000 | ... 000 | ... 000
06 | ... 203 | ... 000 | ... 000 | ... 000
07 | === 205 | === 000 | === 000 | ... 000
08 | G-3 208 | ... 000 | ... 000 | ... 000
09 | === 210 | ... 000 | ... 000 | ... 000
0A | C-2 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | === 000 | ... 000 | ... 000 | ... 000
0E | C-2 000 | ... 000 | ... 000 | ... 000
0F | === 000 | ... 000 | ... 000 | ... 000
10 | C-2 205 | ... 000 | ... 000 | ... 000
11 | ... 205 | ... 000 | ... 000 | ... 000
12 | C-3 000 | ... 000 | ... 000 | ... 000
13 | === 000 | ... 000 | ... 000 | ... 000
14 | C-3 000 | ... 000 | ... 000 | ... 000
15 | === 000 | ... 000 | ... 000 | ... 000
16 | C-3 000 | ... 000 | ... 000 | ... 000
17 | === 000 | ... 000 | ... 000 | ... 000
18 | C-3 210 | ... 000 | ... 000 | ... 000
19 | ... 210 | ... 000 | ... 000 | ... 000
1A | C-4 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | C-3 000 | ... 000 | ... 000 | ... 000
1D | === 000 | ... 000 | ... 000 | ... 000
1E | G-3 000 | ... 000 | ... 000 | ... 000
1F | === 000 | ... 000 | ... 000 | ... 000
20 | C-2 205 | ... 000 | ... 000 | ... 000
21 | ... 205 | ... 000 | ... 000 | ... 000
22 | C-3 000 | ... 000 | ... 000 | ... 000
23 | === 000 | ... 000 | ... 000 | ... 000
24 | C-3 000 | F-4 000 | A-4 000 | ... 000
25 | === 000 | ... 000 | ... 000 | ... 000
26 | C-3 000 | ... 000 | ... 000 | ... 000
27 | === 000 | ... 000 | ... 000 | ... 000
28 | C-3 205 | === 000 | === 000 | ... 000
29 | ... 205 | ... 000 | ... 000 | ... 000
2A | C-2 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | === 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | C-2 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-2 205 | ... 000 | ... 000 | ... 000
31 | ... 205 | ... 000 | ... 000 | ... 000
32 | C-3 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | D#3 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | C-2 000 | ... 000 | ... 000 | ... 000
37 | === 000 | ... 000 | ... 000 | ... 000
38 | C-3 205 | A#3 000 | A#4 000 | ... 000
39 | ... 205 | ... 000 | ... 000 | ... 000
3A | C-1 000 | C-4 000 | C-5 000 | ... 000
3B | === 000 | ... 000 | ... 000 | ... 000
3C | A#3 000 | D#4 000 | D#5 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | C-4 000 | A#4 000 | A#5 000 | ... 000
3F | === 000 | ... 000 | ... 000 | ... 000

Order 07
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | C-5 000 | C-6 000 | === 000 | === F02
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | ... 210 | ... 210 | ... 000 | ... 000
04 | ... 210 | ... 210 | ... 000 | ... 000
05 | ... 210 | ... 210 | ... 000 | ... 000
06 | === 000 | === 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | C-5 000 | C-6 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 210 | ... 210 | ... 000 | ... 000
0C | ... 210 | ... 210 | ... 000 | ... 000
0D | ... 210 | ... 210 | ... 000 | ... 000
0E | === 000 | === 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | C-5 000 | C-6 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 210 | ... 210 | ... 000 | ... 000
13 | ... 210 | ... 210 | ... 000 | ... 000
14 | === 210 | === 210 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | C-5 000 | C-6 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 210 | ... 210 | ... 000 | ... 000
1B | ... 210 | ... 210 | ... 000 | ... 000
1C | === 210 | === 210 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | C-5 000 | C-6 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 210 | ... 210 | ... 000 | ... 000
23 | === 210 | === 210 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | C-5 000 | C-6 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 210 | ... 210 | ... 000 | ... 000
2B | === 210 | === 210 | ... 000 | ... 000
2C | ... 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-5 000 | C-6 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | === 000 | === 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | C-5 000 | C-6 000 | ... 000 | ... 000
39 | === 000 | === 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
